"Item Name
","Size
","Order
Qty","Rcvd
Qty","Cost
","Extended
Cost",  ,
"Huberts, Strawberry",CASE (12  1 Each),1,1,20.60,20.60,,
,,,,,,,
Core Power Chocolate,CASE (12  1 Each),2,2,29.65,59.30,,
Core Power Strawberry Banana,CASE (12  1 Each),1,1,29.65,29.65,,
Core Power Vanilla,CASE (12  1 Each),3,3,29.65,88.95,,
"Dasani, 20oz",CASE (24  1 Each),2,2,14.47,28.94,,
"Dasani, 8pk -12 OZ(3 per case)",CASE (3  8 Each),2,2,12.26,24.52,,
"Dasani, Liter",CASE (12  1 Liter),2,2,19.49,38.98,,
"Smart Water, 1 Liter",CASE (12  1 Each),8,8,17.31,138.48,,
"Smart Water, 1.5Liter",CASE (12  1 Each),6,6,22.73,136.38,,
"Smart Water, 24oz sport cap",CASE (24  1 Each),6,6,27.05,162.30,,
"Dunkin Donuts Coffee, French Vanilla",CASE (12  1 Each),1,1,24.72,24.72,,
"Dunkin Donuts Coffee, Mocha",CASE (12  1 Each),4,4,24.72,98.88,,
"Dunkin Donuts Coffee, Orig",CASE (12  1 Each),2,2,24.72,49.44,,
,,,,,,,
"Minute Maid, Apple Juice",CASE (24  1 Each),1,1,24.51,24.51,,
"Minute Maid, Cranapple Raspberry",CASE (24  1 Each),1,1,24.51,24.51,,
"Minute Maid, Cranberry Grape",CASE (24  1 Each),1,1,24.51,24.51,,
Powerade Mountain Blast 20oz,CASE (24  1 Each),1,1,23.03,23.03,,
"Powerade Zero, Fruit Punch 20oz",CASE (24  1 Each),1,1,23.03,23.03,,
"Powerade Zero, Mixed Berry 20oz",CASE (24  1 Each),2,2,23.03,46.06,,
"Powerade, 28oz Grape",CASE (15  1 Each),1,1,22.13,22.13,,
"Powerade, 28oz Melon",CASE (15  1 Each),1,1,22.13,22.13,,
"Powerade, 28oz Mountain Berry Blast",CASE (15  1 Each),1,1,22.13,22.13,,
"Powerade, 28oz Zero Grape",CASE (15  1 Each),1,1,22.13,22.13,,
"Powerade, 32oz White Cherry",CASE (15  1 Each),1,1,22.13,22.13,,
"Vitamin Water, 20z energy",CASE (12  1 Each),1,1,12.99,12.99,,
